公司中文名称,年份,"流动资产周转率
[报告期] 2014年报
[单位] 次","应收账款周转率
[报告期] 2014年报
[单位] 次","财务费用
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2014年报","流动比率
[报告期] 2014年报","速动比率
[报告期] 2014年报","现金比率
[报告期] 2014年报","经营活动现金净流量(TTM)
[报告期] 2014年报
[单位] 元","流动负债合计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2014年报
[单位] %","利润总额(TTM)
[报告期] 2014年报
[单位] 元","非流动负债合计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2014年报
[单位] 元","长期资本负债率
[报告期] 2014年报
[单位] %","现金流量利息保障倍数
[报告期] 2014年报","负债合计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2014年报
[单位] %","总资产报酬率ROA
[报告期] 2014年报
[单位] %","主营业务成本
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2014年报
[单位] %","存货周转率
[报告期] 2014年报
[单位] 次","营运资本周转率
[报告期] 2014年报
[单位] 次","非流动资产周转率
[报告期] 2014年报
[单位] 次","总资产周转率
[报告期] 2014年报
[单位] 次","成本费用利润率
[报告期] 2014年报
[单位] %","营业收入(同比增长率)
[报告期] 2014年报
[单位] %","总资产(同比增长率)
[报告期] 2014年报
[单位] %","大股东持股比例
[日期] 2014-12-31
[大股东排名] 第1名
[单位] %","无形资产
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2014年报
[单位] 元"
宁波双林汽车部件股份有限公司,2014,1.0816,3.3333,"29,303,811.57","1,497,240,270.12",0.9052,1.1424,0.82,0.398,"88,286,475.24","1,472,756,240.07",47.5121,"153,599,851.45","257,688,668.62","1,911,672,958.15","26,323,566.06",11.9839,2.8465,"1,730,444,908.69",10.2589,6.5601,"1,093,141,737.25","7,099,872.56",7.0251,2.929,6.2892,1.1022,0.5459,10.0454,24.183,97.5881,49.65,"301,829,176.84","3,642,117,866.84","134,717,316.49"
宁波继峰汽车零部件股份有限公司,2014,1.9087,4.7153,"6,004,140.46","1,017,916,608.25",0.3624,2.0523,1.4087,0.4253,"140,606,213.15","280,106,178.61",26.6023,"241,677,514.83","4,284,748.21","784,654,053.59","2,729,344.20",0.5454,44.4263,"284,390,926.82",23.7424,25.7186,"626,979,717.54","10,034,227.86",25.81,3.8716,3.1978,2.4411,1.0711,26.4395,35.6329,28.5567,57.8,"61,782,127.14","1,069,044,980.41","203,979,941.86"
力帆实业(集团)股份有限公司,2014,1.1224,6.1677,"416,954,142.01","11,416,748,432.97",2.8181,0.8106,0.6739,0.4344,"-368,054,156.14","13,646,828,976.06",73.8091,"409,864,272.98","1,736,137,155.52","5,458,577,444.16","209,523,487.97",24.3013,-1.0182,"15,382,966,131.58",3.59,3.2243,"9,372,798,385.57","166,598,476.50",7.1389,4.4041,,1.2632,0.5943,3.3642,13.3374,18.5628,61.43,"805,808,043.77","20,841,543,575.74","377,422,295.63"
浙江中马传动股份有限公司,2014,1.7583,4.2431,"15,644,089.75","1,049,871,988.71",0.8522,1.3397,0.8573,0.2702,"173,324,927.23","415,324,379.27",46.0108,"194,579,513.30","46,002,260.00","541,321,580.80","15,141,049.35",7.8325,10.7807,"461,326,639.27",18.5336,19.5331,"736,524,222.74","4,863,497.99",29.4235,3.7378,7.8801,2.2029,0.9778,18.4438,10.5374,-12.4088,49.07,"35,468,622.16","1,002,648,220.07","159,275,807.04"
江苏太平洋精锻科技股份有限公司,2014,1.452,4.9394,"11,503,971.42","627,549,555.85",0.3472,1.2785,0.8686,0.3336,"130,138,919.92","347,215,805.60",25.7724,"149,835,077.11","62,017,871.79","1,178,640,780.88","12,019,520.85",4.9988,9.3436,"409,233,677.39",23.8762,11.0563,"386,859,938.28","3,204,487.34",10.6541,3.0445,4.2152,0.6083,0.4287,25.9489,18.0178,18.5029,50.63,"43,896,178.64","1,587,874,458.27","125,573,088.33"
云南西仪工业股份有限公司,2014,0.9993,4.263,"4,412,987.91","467,843,995.71",0.4852,1.9942,1.0673,0.5425,"7,084,108.29","248,253,454.93",32.6679,"8,447,229.96","6,300,000.00","524,663,025.47","4,900,484.57",1.2071,1.3298,"254,553,454.93",1.8056,1.7359,"397,263,810.15","1,970,899.29",1.6042,1.8482,2.0641,1.5555,0.6084,1.8195,27.3277,2.7103,48.39,"1,225,882.10","779,216,480.40","8,254,708.90"
天津一汽夏利汽车股份有限公司,2014,1.8722,68.6935,"125,886,396.32","3,231,643,221.31",3.3907,0.301,0.1617,0.119,"-1,483,743,975.71","4,615,960,373.13",77.2247,"-1,650,269,871.35","638,165,806.52","1,549,557,434.99","122,158,373.65",29.6053,-11.0095,"5,254,126,179.65",-51.066,-20.383,"3,685,123,768.15","77,204,788.35",-109.3395,5.8054,,0.56,0.4311,-32.0557,-42.5358,-16.9298,47.73,"439,353,113.28","6,803,683,614.64","-1,657,880,386.67"
科华控股股份有限公司,2014,1.551,3.2837,"20,294,859.35","505,324,723.15",2.0099,0.8077,0.5526,0.115,"27,023,209.52","431,262,430.77",66.7762,"69,388,502.54","48,851,498.58","238,875,555.49","13,490,237.31",16.9784,1.9418,"480,113,929.35",13.7315,12.914,"332,316,559.53","2,950,472.44",24.9902,3.7427,,1.5992,0.7874,13.9667,36.5246,28.2539,59.2,"57,392,173.18","718,989,484.84","59,695,450.75"
浙江万丰奥威汽轮股份有限公司,2014,2.3813,5.7097,"52,901,229.74","5,535,128,065.59",1.1026,1.293,1.0783,0.4674,"842,477,879.92","1,951,484,955.96",52.4391,"613,581,866.52","703,053,440.90","2,407,598,289.27","39,495,446.64",26.4268,17.9509,"2,654,538,396.86",11.0852,14.0829,"4,260,797,252.86","23,994,911.45",22.2321,11.2066,9.2759,2.393,1.1936,10.8612,21.5886,20.1658,53.38,"679,290,035.97","5,062,136,686.13","529,524,859.45"
宁波均胜电子股份有限公司,2014,2.7056,7.6498,"62,931,034.86","7,077,091,078.40",1.5341,1.0636,0.7288,0.2471,"737,519,428.75","2,621,769,713.09",60.5386,"458,706,320.73","1,167,464,483.70","2,469,970,094.06","60,945,537.58",32.5398,10.8943,"3,789,234,196.79",6.4816,8.6571,"5,692,346,642.01","10,072,569.82",14.332,6.6053,55.3424,2.0896,1.179,5.2711,15.9452,8.9322,60.4,"635,170,865.30","6,259,204,290.85","349,600,735.78"
山东隆基机械股份有限公司,2014,1.001,4.36,"28,983,266.45","1,238,033,575.20",0.6612,1.4245,0.7631,0.3668,"171,506,457.04","868,783,222.69",39.8035,"53,922,110.33","50,000,000.00","1,389,515,021.01","28,326,153.10",3.6826,5.276,"918,783,222.69",4.3555,3.61,"1,016,127,405.58","6,796,964.44",3.4713,1.7459,3.5864,1.1887,0.5434,3.7534,9.3517,1.5482,45.18,"61,394,522.06","2,308,298,243.70","44,457,249.23"
上海加冷松芝汽车空调股份有限公司,2014,0.9239,3.3879,"3,424,475.52","2,527,246,231.88",0.5261,2.3707,1.9903,1.166,"225,187,200.11","1,191,058,903.58",34.4732,"358,089,810.59","100,457,059.12","2,454,921,119.89","1,251,650.65",4.1552,55.4065,"1,291,515,962.70",14.1692,10.1422,"1,741,278,662.67","12,006,914.19",11.9264,4.3993,1.526,3.1291,0.7133,13.9126,28.4065,12.1806,50.1,"167,576,999.79","3,746,437,082.59","301,244,172.77"
常州星宇车灯股份有限公司,2014,0.9474,6.5455,"-4,490,475.79","2,016,023,652.51",0.5833,2.0857,1.6333,0.4813,"385,926,433.59","1,100,874,847.23",36.839,"315,779,627.60","63,472,020.69","1,996,288,246.99","-5,965,282.45",3.0967,173.7412,"1,164,346,867.92",15.6635,10.3182,"1,531,255,564.95","8,651,887.09",13.7299,3.5253,1.8074,2.3048,0.6714,15.6056,23.5079,11.1124,43.34,"136,911,909.49","3,160,635,114.91","272,407,190.05"
宁波高发汽车控制系统股份有限公司,2014,1.5646,6.1558,"3,326,053.47","579,370,199.37",0.6446,1.9394,1.5963,1.0267,"51,839,223.97","217,346,060.52",39.1946,"111,936,982.39","615,333.17","338,139,446.99","2,988,252.05",0.1816,14.8381,"217,961,393.69",19.3205,22.8349,"399,167,680.69","4,232,756.93",28.3671,5.753,3.364,4.3566,1.1512,20.7216,29.3402,23.4476,58.33,"23,270,160.92","556,100,840.68","95,920,470.79"
爱柯迪股份有限公司,2014,1.4769,5.2338,"5,108,059.89","1,297,508,486.07",0.5649,2.884,2.2339,0.6479,"350,599,715.45","314,831,339.23",36.0989,"414,684,713.81","273,182,938.43","1,040,883,429.52","832,120.78",23.1362,114.1781,"588,014,277.66",31.9601,26.9527,"759,063,861.05","12,594,636.51",28.1398,3.9695,2.2186,1.9566,0.8416,34.3985,15.965,11.9978,,"65,684,184.15","1,628,897,707.18","310,760,117.58"
厦门日上集团股份有限公司,2014,0.7711,4.5348,"50,700,790.85","1,341,928,220.58",1.3229,1.2917,0.5708,0.1496,"12,253,864.91","1,472,557,715.96",56.9502,"50,886,547.97","137,432,847.48","1,217,023,981.19","43,080,092.43",10.1467,0.2373,"1,609,990,563.44",3.792,3.4842,"1,112,409,222.14","3,136,701.27",3.2471,1.1331,2.684,1.4027,0.4976,3.0803,9.1367,10.1344,46.19,"127,514,174.80","2,827,014,544.63","39,518,210.61"
江铃汽车股份有限公司,2014,2.2283,44.1948,"-245,503,569.00","25,537,289,610.00",0.8396,1.4715,1.2783,1.1378,"4,190,066,410.00","8,586,704,062.00",45.6394,"2,429,295,219.00","311,394,840.00","10,598,428,806.00","-202,742,501.00",2.8543,"10,064.46","8,898,098,902.00",9.5127,12.3765,"19,098,715,294.00","852,415,871.00",19.8883,11.2192,6.9921,3.9109,1.4195,9.2741,22.2482,18.2704,41.03,"619,339,548.00","19,496,527,708.00","2,107,852,075.00"
长鹰信质科技股份有限公司,2014,1.2605,4.7107,"12,490,370.69","1,553,625,144.65",0.3928,2.4787,1.9295,0.9048,"165,375,727.60","524,278,735.96",28.2047,"214,481,299.73","1,500,000.00","1,338,375,164.94","760,162.53",0.1133,26.4993,"525,778,735.96",13.8052,12.4087,"1,183,748,667.30","10,349,393.05",14.058,4.1109,2.0484,3.0944,0.8957,13.7845,17.2249,16.1426,40.7,"71,441,067.75","1,864,153,900.90","184,009,480.40"
四川西部资源控股股份有限公司,2014,0.2528,1.487,"23,850,727.26","462,541,960.27",1.9571,1.3771,1.3016,0.4497,"70,199,335.01","1,917,745,947.34",66.1828,"30,917,452.19","2,363,093,710.96","2,187,369,525.62","23,753,206.26",64.5133,1.5951,"4,280,839,658.30",6.6842,1.2374,"234,012,516.14","14,199,247.63",1.2329,2.2945,0.6382,0.1787,0.1047,2.8068,9.3359,173.0951,40.46,"1,229,545,187.26","6,468,209,183.92","12,670,423.60"
绵阳富临精工机械股份有限公司,2014,1.5898,4.958,"2,273,298.75","699,571,627.90",0.921,1.4482,1.183,0.7273,"113,114,811.12","346,434,837.21",47.9448,"160,787,108.40","22,446,402.45","400,505,922.83","1,409,250.42",5.3323,36.4406,"368,881,239.66",22.9837,23.8052,"456,655,356.82","5,078,789.61",34.3223,5.2308,5.988,2.899,1.0267,25.3466,30.5031,29.6771,52.47,"24,123,781.65","769,387,162.49","136,776,218.61"
重庆长安汽车股份有限公司,2014,1.8404,92.9206,"66,074,040.06","52,913,332,100.83",1.7376,0.9137,0.7466,0.6987,"3,779,921,774.57","39,322,496,272.32",63.472,"7,538,829,644.24","4,909,444,921.28","25,455,411,697.22","38,247,722.30",16.0719,19.8014,"44,231,941,193.60",14.2475,12.3152,"43,265,825,863.87","2,064,344,726.91",29.4925,7.6571,,1.6144,0.86,14.6176,35.184,27.6042,39.11,"2,878,965,225.15","69,687,352,890.82","7,517,978,935.62"
天润曲轴股份有限公司,2014,0.9259,4.3679,"23,853,922.05","1,619,505,086.47",0.5161,1.0837,0.6613,0.4376,"409,902,564.52","1,649,267,521.30",34.0425,"159,707,815.74","28,612,507.30","3,250,899,509.42","20,691,709.79",0.8891,17.1581,"1,677,880,028.60",9.8615,3.7648,"1,248,441,558.19","1,446,820.19",4.1796,1.8772,9.2796,0.5323,0.338,9.3004,3.1625,5.8868,38.61,"223,883,399.31","4,928,779,538.02","138,345,865.38"
浙江亚太机电股份有限公司,2014,1.4996,5.4154,"18,687,456.86","3,278,878,218.49",0.6678,1.7509,1.4358,0.4213,"230,043,676.44","1,631,835,405.94",40.0405,"210,003,586.31","48,883,353.80","2,516,831,148.69","20,687,384.08",1.9336,8.377,"1,680,718,759.74",6.4047,6.7746,"2,731,359,851.64","9,142,097.34",7.0815,5.883,4.4662,2.6904,0.9629,5.9098,20.6092,60.6453,38.8,"158,644,548.73","4,197,549,908.43","181,142,055.95"
河南省西峡汽车水泵股份有限公司,2014,1.4392,5.2892,"38,048,645.56","1,614,686,229.58",1.097,0.9727,0.5858,0.2374,"84,002,910.06","1,219,306,938.19",52.3135,"45,518,923.64","99,155,177.88","1,201,849,336.49","36,675,963.37",7.7126,2.0523,"1,318,462,116.07",2.8191,3.4819,"1,271,346,540.41","4,916,935.26",3.407,2.8396,28.6821,1.3036,0.684,2.6157,29.7974,14.5111,43.18,"171,235,932.77","2,520,311,452.56","41,142,361.16"
