公司中文名称,年份,"流动资产周转率
[报告期] 2008年报
[单位] 次","应收账款周转率
[报告期] 2008年报
[单位] 次","财务费用
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元",产权比率,"流动比率
[报告期] 2008年报","速动比率
[报告期] 2008年报","现金比率
[报告期] 2008年报","经营活动现金净流量(TTM)
[报告期] 2008年报
[单位] 元","流动负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2008年报
[单位] %","利润总额(TTM)
[报告期] 2008年报
[单位] 元","非流动负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2008年报
[单位] 元","长期资本负债率
[报告期] 2008年报
[单位] %","现金流量利息保障倍数
[报告期] 2008年报","负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2008年报
[单位] %","总资产报酬率ROA
[报告期] 2008年报
[单位] %","主营业务成本
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2008年报
[单位] %","存货周转率
[报告期] 2008年报
[单位] 次","营运资本周转率
[报告期] 2008年报
[单位] 次","非流动资产周转率
[报告期] 2008年报
[单位] 次","总资产周转率
[报告期] 2008年报
[单位] 次","成本费用利润率
[报告期] 2008年报
[单位] %","营业收入(同比增长率)
[报告期] 2008年报
[单位] %","总资产(同比增长率)
[报告期] 2008年报
[单位] %","大股东持股比例
[日期] 2009-03-01
[大股东排名] 第1名
[单位] 1%","无形资产
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2008年报
[单位] 元"
光启技术股份有限公司,2008,2.33,4.37,1419060.74,102674148.7,0.72,1.25,0.82,0.06,14134347.57,35284037.12,41.69,19485862.08,,49347301.4,1084755.32,,12.95,35284037.12,18.98,24.31,68277150.41,748899.74,,4.54,,,1.21,20.3,,,,3948103.86,84631338.52,16901102.98
江铃汽车股份有限公司,2008,2.54,40.26,-59064412,8587033608,0.44,1.93,1.28,1.06,182077762,1632950851,30.4,902396414,179737512,4151089815,-42598725,4.25,74.43,1812688363,10.51,14.23,6645061869,145541626,19.36,6.91,6.11,3.23,1.42,10.35,1.56,-2.62,41.03,326687029,5963778178,797377658
江苏云意电气股份有限公司,2008,1.86,17.88,173818.25,49048670.6,0.72,1.59,0.95,0.75,-3150561.24,16589894.53,42.03,6866294.36,,22885748.79,,,,16589894.53,14,17.83,37074826.55,72217.72,,3.49,,,1.24,12.17,,,,,39475643.32,5107688.5
东风电子科技股份有限公司,2008,2.29,5.43,28743647.03,1168071385,1.8,0.61,0.48,0.18,88330705.2,734534165.8,64.3,-59556325.76,,407770951,,,,734534165.8,-5.1,-2.61,1000905331,4521769.6,-21.36,8.15,,1.74,0.99,-4.96,8.68,-6.54,65,4230506.16,1142305117,-60721700.5
兴民智通(集团)股份有限公司,2008,2.45,17.73,6869115.84,983274741.1,1.06,1.31,0.79,0.3,16092448.6,331206969.5,51.4,70572428.2,,313130208.6,6118023.39,,2.08,331206969.5,7.18,12.93,856983348.8,3115120.01,18.18,5.59,10.33,5.13,1.66,5.82,24.89,18.81,,21763070,644337178.1,52798798.92
山东隆基机械股份有限公司,2008,2.33,8.42,14724644.3,711669932.7,1.46,0.75,0.45,0.21,140964028.2,390579497,59.28,74677072.52,,268259464.6,10781818.24,,11.36,390579497,10.49,12.74,581684539.7,,,5.33,,1.95,1.06,9.31,20.88,-3.54,,33487643.86,658838961.7,59394552.13
华菱星马汽车(集团)股份有限公司,2008,1.6,6.88,46189197,1876569031,2.26,1.05,0.62,0.34,15509466.58,1095647862,69.28,34848471.78,,485885623.1,42940066.74,,0.3,1095647862,1.86,4.86,1686868733,1135517.5,4.67,3.91,24.51,4.39,1.17,1.23,-11.35,-2.32,30.73,31204615.76,1581533486,22672008.61
上海汽车集团股份有限公司,2008,1.92,29.88,1517188283,1.05E+11,1.8,1.02,0.88,0.64,11669840382,55120368646,64.27,-480350415.2,14199538314,38536741680,1135999203,29.07,9.17,69319906960,-0.45,0.63,93235189365,790132876.6,1.89,12.19,31.44,2.14,1.01,-0.79,1.27,5.93,78.94,2529847009,1.08E+11,-850060674.7
浙江跃岭股份有限公司,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东鸿特科技股份有限公司,2008,1.87,6.12,13857968.05,282637676.9,1.56,1.88,1.32,0.45,40223065.92,79755381.08,60.94,24446656.15,114714703.2,124666348.5,12328084.52,47.92,3.22,194470084.3,8.65,11.5,208904599.1,,19.61,4.15,4.35,1.68,0.88,9.43,42.41,-0.37,,3946846.52,319136432.8,24446656.15
江苏奥力威传感高科股份有限公司,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波华翔电子股份有限公司,2008,1.84,8.16,60232953.28,2683072662,1.17,0.88,0.5,0.26,248722950.5,1479739280,53.96,219352912.8,166249659.8,1404496507,,13.11,,1645988939,8.18,9.66,2192254750,5673031.74,13.07,3.99,,1.87,0.93,7.25,1.51,11.53,18.22,187322374.7,3050485446,184689343.8
长城汽车股份有限公司,2008,1.57,41.69,-49340083.58,8424640424,0.52,1.37,1.13,0.84,826121759.6,3612380725,34.4,585619775.6,67062173,7017440466,-70130787,0.99,,3679442898,6.95,4.96,6683553706,217338854,,7.29,4.22,1.68,0.81,7.21,6.68,6.07,,867819359.1,10696883364,552141386.3
浙江万里扬股份有限公司,2008,2.16,11.77,6524717.08,564382909.5,1.04,0.91,0.51,0.22,51873535.84,329202778.3,51.07,89474482.58,,315420816.5,,,,329202778.3,15.85,16.01,422287825.5,664360.21,,3.98,,1.67,0.94,18.56,11.6,16.22,,90946708.05,644623594.8,89326590.2
中原内配集团股份有限公司,2008,2.05,8.99,23231722.24,675292301.8,1.7,0.99,0.46,0.15,54526998.22,327269641.9,62.92,48809935.74,103613831.7,253923844.8,19104000,29.08,2.85,430883473.6,7.23,10.22,525570352.3,2717148.4,15.81,3.5,,2.02,1.02,6.32,15,6.26,,60465779.94,684807318.4,39920286.13
万向钱潮股份有限公司,2008,1.71,7.68,111930729.5,4848290241,2.25,0.78,0.47,0.27,439087105.9,3792273161,69.26,372618770.1,230207967.4,1785246432,,13.51,,4022481129,7.69,8.58,4025591397,21411468.37,14.99,3.73,,1.72,0.86,7.22,14.55,5.78,61.05,129073301.5,5807727561,327161761.2
浙江万丰奥威汽轮股份有限公司,2008,1.83,5.95,35732921.91,1444689111,0.7,1.09,0.81,0.46,161697169.8,612571530.1,41.08,27133029.38,500000,879426959.4,18880356.05,0.06,6.3,613071530.1,1.88,2.91,1285860680,7650074.04,2.7,6.2,8.51,1.83,0.92,1.48,-17.24,-10.38,45.1,44813818.31,1492498490,21107603.84
上海北特科技股份有限公司,2008,2.11,6.9,1279385.82,151827592.2,0.74,1.63,1.06,0.36,34015857.37,57174922.75,42.43,28441677.96,,77589072.25,,,,57174922.75,18.73,27.44,105496106.8,32491.37,,3.71,5.41,4.19,1.4,22.86,44.15,64.61,,1611009.6,134763995,28429621.78
南宁八菱科技股份有限公司,2008,1.56,11.31,8101180.99,282106288.2,1.17,1.14,0.76,0.49,32288515.94,158149587.8,53.98,42881222.32,11180000,144384624.9,7746435.17,7.19,4.09,169329587.8,15.2,16.14,209289326.9,1137292.69,,3.42,,,0.9,17.16,,,,21822053.22,313714212.7,41880294.68
中国重汽集团济南卡车股份有限公司,2008,2.18,30.92,24196391.07,19193094750,3.05,1.09,0.8,0.65,-88024824.74,8793277563,75.28,773215634.3,85240786.54,2915420703,-9797029.41,3.31,-0.65,8878518349,4.03,7.14,17537599144,282140.06,18.99,6.63,15.83,10.05,1.79,3.36,10.72,22.79,63.78,209578801.4,11793939053,618778081.9
浙江世纪华通集团股份有限公司,2008,1.63,3.89,9601951.29,420832438.2,1.01,1.29,0.77,0.16,14103428.62,200312974,50.2,84002622.59,,198708395.8,6255475.96,,2.04,200312974,19.96,22.62,271643761.9,507834.55,,2.61,,,1.05,23.24,,,,26342922.74,399021369.8,77056544.74
厦门金龙汽车集团股份有限公司,2008,2.15,9.24,10258099.36,12389728490,2.48,1.15,0.83,0.5,-14586057.15,5390735593,71.3,361639058.7,367509520.1,2317823521,-9917495.69,21.06,-0.53,5758245113,2.92,4.65,11051240644,51462163.44,14.27,7.21,17.87,6.9,1.64,2.82,-0.42,14.64,13.52,212979465.8,8076068635,338287698.2
广东鸿图科技股份有限公司,2008,1.94,5.64,17060155.69,559588130.6,0.81,1.25,0.93,0.41,56072714.48,228910712.1,44.88,33550930.19,74184561.62,372208264,12767036.58,16.62,4.06,303095273.7,6,7.23,439219756.7,2346108.08,7.78,5.87,11.09,1.59,0.87,5.5,16.23,11.36,27.46,23398781.55,675303537.7,28943796.72
浙江万安科技股份有限公司,2008,1.62,7.44,19247860.91,534311449.2,2.95,0.86,0.57,0.36,87947316.01,386526493.2,74.71,49102906.61,,130836255.1,18630735.95,,4.56,386526493.2,9.19,13.09,365612807.5,2109128.97,,3.28,,,1.03,8.41,,,,41648101.61,517362748.3,40304496.57
上海保隆汽车科技股份有限公司,2008,2.28,6.84,17639248.9,604593179.8,1.28,1.43,0.78,0.17,50422579.56,185117445.9,56.17,45521061.65,30101526.75,167918724.7,,17.25,,215218972.6,7.53,16.49,457134651.5,1310803.5,,3.78,,,1.58,6.51,,,,20525082.43,383137697.3,36386671.48
中国汽车工程研究院股份有限公司,2008,1.73,17.38,-6516052.97,1109086581,0.59,2.09,1.71,1.01,52315601.48,307230162.6,37,84941126.1,71798522.66,645475284.1,,10.38,,379028685.2,7.66,7.65,966724727.2,9540709.77,,8.31,,,1.08,6.76,,,,154063179.4,1024503969,69587468.73
东风汽车股份有限公司,2008,1.51,15.08,39580356.31,12431496586,0.91,1.41,0.94,0.74,-829242137.9,5214310331,47.59,429822420,74794194.75,5825111158,,1.41,,5289104526,3.46,4.04,10848709724,213791502.9,6.03,4.61,5.21,3.67,1.07,3.42,14.8,-1.11,60.1,354708424.8,11114215684,414609581.2
北京威卡威汽车零部件股份有限公司,2008,1.61,5.79,-564188.32,562705974,0.25,3.6,2.3,1.09,118380501.2,97079303.22,19.69,207465430.1,,396056628.7,,,,97079303.22,36.87,41.96,294332045.2,97002.22,,2.35,,,1.14,45.17,,,,15311145.45,493135932,160231538.1
潍柴动力股份有限公司,2008,1.92,13.75,286332054.6,33127784386,1.58,1.19,0.84,0.59,1874896880,16719924865,61.3,2740808793,1221332353,11326477862,248774325,13.25,6.32,17941257218,8.27,11.57,26429031849,134125437,24.15,5.2,13.1,3.84,1.28,8.05,13.21,30.53,24.19,576882439.9,29267735080,2411819750
浙江亚太机电股份有限公司,2008,1.74,4.71,24183645,911045504.8,1.49,0.92,0.7,0.34,73971802.91,556518652,59.92,54288356.37,48318151.92,404593077.9,25727111.33,11.47,2.58,604836803.9,5.96,7.96,735456635.3,3841246.63,13.05,6.43,,1.89,0.91,5.85,3.4,0.86,,75574749.41,1009429882,50314048.52
许昌远东传动轴股份有限公司,2008,1.77,6.03,5196404.12,606027955,0.77,1.45,1.18,0.52,57712652.8,247258933.2,43.43,114262582,6296000,330308636,4979254.12,1.87,11.22,253554933.2,18.85,22.23,433843414.2,3107862.59,,7.42,6.09,3.13,1.13,18.9,14.72,19.39,,34095734.3,583863569.2,93589185.83
斯太尔动力股份有限公司,2008,1.46,4.31,12343269.17,501767097.1,2.01,0.97,0.62,0.18,-158998.56,348711464.8,66.81,-97579226.48,31730000,189008201.9,12221643.76,14.82,-0.01,380441464.8,-19.45,-14.28,448056398.6,1391225.6,-53.71,3.85,51.09,1.97,0.84,-19.13,12.36,-9.04,18.51,12610348.74,569449666.7,-97617591.97
海马汽车集团股份有限公司,2008,1.32,224.35,30633326.23,6126374802,0.61,2.28,1.37,1.22,-1695616343,1594059653,37.8,52871693.15,788057259.2,3919563482,28597991.76,24.66,-29.53,2382116912,0.86,1.12,5746562837,297540069.6,2.04,3.4,2.99,2.32,0.84,0.04,-27.73,-23.86,57.31,742157307.3,6301680394,2553882.93
力帆实业(集团)股份有限公司,2008,2.13,9.24,129069310,6149160044,2.02,1.06,0.81,0.47,208816858.5,3065851263,66.88,221127455.2,339076725.2,1685945459,54382333.31,16.9,3.19,3404927988,3.6,6.03,5092842527,92661613.47,,7.33,,3.67,1.35,3.37,5.92,25.97,,394528270.1,5090873447,197543727.7
宁波双林汽车部件股份有限公司,2008,1.36,4.42,17826043.36,391465837.8,1.56,0.95,0.66,0.34,64905913.84,354525581,60.94,54472413.38,,227213813.4,11512927.49,,5.05,354525581,13.92,12.73,263494854,3002453.75,,2.58,,1.7,0.76,12.7,16.6,27.94,,48067821.6,581739394.3,44581868.38
凌云工业股份有限公司,2008,1.47,4.8,43038811.54,1972035227,0.87,1.49,0.92,0.4,186745913.9,952704468.9,46.42,213023443.9,506987.11,1100059221,46278050.56,0.08,3.84,953211456.1,10.8,13.31,1504165205,1749730.59,14.44,3.13,4.66,3.24,1.01,10.57,16.5,11.39,37.95,41125730.42,2053270677,184377433.2
上海联明机械股份有限公司,2008,2.02,20.92,1836575.52,143723417.3,0.12,7.1,3.05,1.79,-619665,10003392.4,10.48,23768694.96,,85420520.74,,,,10003392.4,16.54,26.83,113374488.2,37868.08,16.38,2.8,,,1.51,11.69,,,,2065987.01,95423913.14,13992495.59
安徽安凯汽车股份有限公司,2008,1.68,8.04,17093832.15,2142050854,1.76,1.13,0.82,0.47,161175501.5,1234823712,63.71,37115428.22,2250000,704591958.1,14964496.46,0.35,7.59,1237073712,1.73,2.98,1900848735,6945448.06,3.79,5.15,10.88,4.55,1.23,1.44,3.06,-11.41,23.48,55515314.97,1941665670,30508690.31
辽宁曙光汽车集团股份有限公司,2008,1.52,8.95,37373766.65,4322538833,2.33,1,0.84,0.58,157511494.2,2586856994,69.96,115330617.6,521269550.6,1334660174,32518322.13,29.05,3.53,3108126545,2.67,3.4,3762752963,42563725.6,5.29,6,16.77,2.85,0.99,1.85,5.06,4.23,21.03,708024397.6,4442786719,77405334.02
中通客车控股股份有限公司,2008,1.68,7.09,11734512.62,1710214609,1.8,1.13,0.68,0.31,32719955.29,936230412.1,64.31,34403545.31,14400000,527606724.5,8506527.57,2.67,1.67,950630412.1,2.01,3.02,1517668037,5048672.49,5.14,3.54,13.83,4.27,1.2,1.61,21.69,8.46,21.72,116070863.6,1478237137,27018457.55
无锡威孚高科技集团股份有限公司,2008,1.25,5.89,71827254.71,3033289603,0.69,1.1,0.83,0.55,808493643.2,1853210195,40.69,215685390.2,17790000,2726901030,93092000,0.7,7.4,1871000195,7.11,6.35,2463879992,16838985.06,7.72,3.89,11.44,1.25,0.62,6.84,-4.78,-10.88,20.11,78229946.2,4597901224,206807176.9
常州星宇车灯股份有限公司,2008,1.53,9.18,301495.26,451735740,0.56,2.31,1.84,1.23,84060582.43,133924436.7,35.93,70295952.19,10541199.1,257561975.7,13119.4,4.06,83.33,144465635.8,15.56,18.1,333286503.8,3307385.19,,4.51,3.24,4.88,1.16,17.49,1.38,7.25,,20927848.8,402027611.5,66059126.41
浙江金固股份有限公司,2008,2.11,11.13,19002235.24,381068028.1,2.04,1.07,0.69,0.33,23497881.67,204310500.4,67.06,26958940.3,72000000,135714425,15899200,35.83,1.43,276310500.4,7.07,11.92,293259155.2,1144780.14,,4.69,,2.13,1.06,6.99,36.95,34.05,,28288220.62,412024925.3,24907187.16
贵州贵航汽车零部件股份有限公司,2008,1.55,5.21,7311777.4,1463148921,0.42,2.1,1.47,0.82,53582048.27,591615549.6,29.72,96418578.22,9960716.23,1422777424,9152590.94,0.76,3.01,601576265.8,6.59,6.75,1151619145,5013560.3,5.27,3.87,3.59,2.35,0.94,5.84,8.36,17.08,51.28,124208958.2,2024353689,80885492.88
河南省西峡汽车水泵股份有限公司,2008,1.59,6.29,34159187.94,643048690.8,2.71,0.85,0.59,0.26,35734061.94,536219168.4,73.07,27078591.8,32984880.47,209810872.7,32586470.26,14.48,1.04,569204048.9,4.21,8.45,479312182.2,2619935.25,,3.69,,2.14,0.91,4.27,21.52,23.16,,56211601.43,779014921.6,26428112.04
浙江世宝股份有限公司,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江中马传动股份有限公司,2008,1.11,4.32,16359557.48,277807229.7,3.31,0.65,0.48,0.31,106882669.8,384187022,76.78,25232441.94,1747874.25,116683221.2,,1.48,,385934896.3,9.08,8.28,203790125.6,1805421.96,,3.17,,,0.55,10.9,,,,51651486.56,502618117.5,27406419.96
金杯汽车股份有限公司,2008,1.14,7.49,108526640.5,3206751602,6.64,0.82,0.69,0.5,98457670.26,3368818591,86.92,-217016734.8,317190495.6,554803773.9,99036632.17,42.2,0.77,3686009087,-6.77,-2.68,2922672769,7241308.41,-57.46,6.25,,2,0.73,-6.54,-13.96,-7.09,24.38,143906510.4,4240812861,-217584075
浙江银轮机械股份有限公司,2008,1.49,4.27,30612817.23,982680788.6,1.22,1.26,0.9,0.39,66589809.32,559332734.9,54.94,52384807.96,40933751.18,492301158,24880758.23,7.95,2.34,600266486.1,5.33,7.6,744849889.3,4280376.02,9.19,3.75,6.69,2.76,0.97,4.91,17.36,14.24,49,57111751.02,1092567644,44888402.68
江苏太平洋精锻科技股份有限公司,2008,1.02,3.87,16385502.71,164881477,2.8,0.97,0.67,0.07,22590994.04,166025356.3,73.7,22577571.03,50857943.15,77412676.24,13510214.58,40.66,1.66,216883299.5,13.69,12.26,103290880,104502.61,,2.05,,,0.56,13.85,,,,4716986.39,294295975.7,20404423.87
航天晨光股份有限公司,2008,1.17,3.45,37880271.88,1895636263,1.67,0.97,0.64,0.27,64075552.35,1879231386,62.54,53134046.11,1178472.58,1126192568,32523756.41,0.12,1.63,1880409859,2.8,3.12,1473055399,3916182.6,3.65,2.79,723.4,1.68,0.69,2.52,25,18.94,47.01,85670464.77,3006602427,46359096.15
上海加冷松芝汽车空调股份有限公司,2008,1.31,2.85,13636063.76,806296657.2,1.05,1.75,1.43,0.55,152516931.8,380531647,51.19,150741815.5,45280500,406013296,13287124.81,11.61,11.17,425812147,18.7,21.08,512006570.5,483018.33,33.67,4.65,3.51,4.93,1.04,19.86,3.04,14.87,,24786009.58,831825442.9,128745980.7
常州光洋轴承股份有限公司,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江南模塑科技股份有限公司,2008,1.23,8.8,94836963.78,1436153267,2.78,0.64,0.33,0.19,520391073.9,2277135050,73.55,97183240.06,202749082.4,891724212.4,51248895.97,22.41,6.34,2479884132,6.77,5.1,1120214492,40092993.86,6.29,2.71,,0.82,0.49,5.01,-13.11,-13.15,40.13,61900157.16,3371608344,67326567.1
长鹰信质科技股份有限公司,2008,1.38,3.61,15930095.4,336101917.3,2.58,0.88,0.64,0.19,25274582.1,275629657.8,72.1,14682869.58,596142.2,106897959.3,,0.55,,276225800,4.37,7.99,279741156.3,2143812.25,,4.2,,,0.88,4.12,,,,65141947.05,383123759.2,13188832.91
宁波均胜电子股份有限公司,2008,0.69,13.08,88339983.84,278520566.4,3.81,0.7,0.47,0.15,-24504902.46,493042321.3,79.22,-128560019.2,580467400,281600757.2,88310408.61,76.21,-0.28,1073509721,-46.16,-2.82,284990098.6,1608298.33,-69.71,2.25,,0.27,0.2,-32.4,-6.85,-9.57,11.98,90510883.64,1355110478,-128838604.8
桂林福达股份有限公司,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门日上集团股份有限公司,2008,1.32,7.8,9197738.34,806378248.9,1.29,1.37,0.62,0.22,-48594987.75,422542812.7,56.3,48542029.52,,328012703.7,4936203.86,,-7.53,422542812.7,6.02,6.89,696498246.5,1207539.04,,2.4,6.85,4.92,1.04,5.38,26.62,-6.51,,43608530.03,750555516.4,40715008.9
扬州亚星客车股份有限公司,2008,1.69,4.03,3817912.13,831519946.6,1.91,0.97,0.81,0.29,-15988591.54,547906345.6,65.63,4829450.38,37000000,306333499.4,5000707.61,10.78,-2.08,584906345.6,0.58,1.1,758772144.5,2439299.89,1.58,10.38,,2.07,0.93,0.58,71.92,-0.47,58.44,10984719.56,891239845,4829450.38
哈尔滨东安汽车动力股份有限公司,2008,0.9,1.38,39912625.92,1754328579,0.77,1.37,1.22,0.4,54856795.9,1392978314,43.57,160196806.5,81417402.57,1909818816,38957812.22,4.09,1.32,1474395717,9.13,5.96,1684952249,5235056.14,8.39,6.81,3.49,1.26,0.53,8.47,-5.3,2.65,58.77,,3384214532,160196806.5
天润曲轴股份有限公司,2008,1.42,7.61,22934105.73,819887771.7,1.33,0.77,0.42,0.2,207149285.3,682281318.4,57.13,124661771.8,116015642.9,598989124.4,,16.68,,798296961.3,15.2,11.1,608500072.1,4144973.11,17.48,2.82,,1.09,0.62,16.02,9.4,10.68,,91101855.56,1397286086,113337292.8
怀集登云汽配股份有限公司,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渤海汽车系统股份有限公司,2008,1.13,6.2,88755369.78,1446946116,2.46,1.04,0.84,0.66,165545605.8,1433278904,71.07,34800520.1,141730000,641054977.4,85841742.2,18.19,1.78,1575008904,2.41,5.93,1199601805,6905270.86,4.56,3.85,24.19,1.93,0.71,2.02,3.54,19.6,49.67,12500786.62,2216063882,28342480.66
云南西仪工业股份有限公司,2008,1.01,3.08,5141349.83,428904059.8,0.5,2.03,1.52,0.86,-12214796.19,260339124.1,33.49,36429535.21,3759232.91,524539620.8,4576023.83,0.72,-1.8,264098357,8.49,6.15,361345682.3,1207789.86,6.3,3.43,2.37,1.79,0.64,7.7,3.88,44.78,52.44,69428.1,788637977.8,32041794.51
长春一东离合器股份有限公司,2008,1.24,3.8,3994657.1,520598144.7,1.01,1.41,0.96,0.4,-146528.61,310446163.2,50.32,15287697.54,1845145.23,308301811.9,5670747.08,0.63,-0.03,312291308.4,2.94,3.69,436573901.2,1107880.72,3.82,3.26,3.27,3.51,0.92,2.73,7.56,20.75,37.01,11833666.3,620593120.3,13777415.69
