公司中文名称,年份,"流动资产周转率
[报告期] 2011年报
[单位] 次","应收账款周转率
[报告期] 2011年报
[单位] 次","财务费用
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2011年报","流动比率
[报告期] 2011年报","速动比率
[报告期] 2011年报","现金比率
[报告期] 2011年报","经营活动现金净流量(TTM)
[报告期] 2011年报
[单位] 元","流动负债合计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2011年报
[单位] %","利润总额(TTM)
[报告期] 2011年报
[单位] 元","非流动负债合计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2011年报
[单位] 元","长期资本负债率
[报告期] 2011年报
[单位] %","现金流量利息保障倍数
[报告期] 2011年报","负债合计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2011年报
[单位] %","总资产报酬率ROA
[报告期] 2011年报
[单位] %","主营业务成本
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2011年报
[单位] %","存货周转率
[报告期] 2011年报
[单位] 次","营运资本周转率
[报告期] 2011年报
[单位] 次","非流动资产周转率
[报告期] 2011年报
[单位] 次","总资产周转率
[报告期] 2011年报
[单位] 次","成本费用利润率
[报告期] 2011年报
[单位] %","营业收入(同比增长率)
[报告期] 2011年报
[单位] %","总资产(同比增长率)
[报告期] 2011年报
[单位] %","大股东持股比例
[日期] 2012-03-01
[大股东排名] 第1名
[单位] 1%","无形资产
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2011年报
[单位] 元"
上海北特科技股份有限公司,2011,1.8274,5.6951,"7,719,209.67","364,808,996.98",1.2657,1.0237,0.6726,0.0719,"-9,595,945.32","207,138,737.88",55.8644,"49,726,596.40","5,262,001.65","167,807,176.08","7,488,185.78",3.1628,-1.2415,"212,400,739.53",13.6309,16.9492,"276,354,575.27","1,082,592.66",25.0652,4.4644,27.8802,2.6449,1.0807,13.3677,32.029,28.9163,,"23,900,297.54","380,207,915.61","42,345,680.49"
上海保隆汽车科技股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海岱美汽车内饰件股份有限公司,2011,1.5576,5.2138,"34,027,666.08","1,252,655,101.41",1.1165,1.3222,0.7359,0.28,"86,392,969.42","608,227,576.98",52.7517,"233,174,119.83","72,356,264.40","609,580,071.31",,10.7391,,"680,583,841.38",18.6144,20.7107,"815,518,538.95","3,668,668.83",29.1473,2.2868,,,0.9709,16.883,,,,"149,628,286.98","1,290,163,912.69","176,012,095.78"
重庆长安汽车股份有限公司,2011,1.6473,58.3739,"-184,033,937.80","26,551,846,548.17",1.4939,0.7694,0.5658,0.5191,"207,217,572.62","20,352,830,063.80",59.9021,"948,631,572.13","1,530,662,278.74","14,648,625,773.00","-191,337,705.35",9.4079,20.0628,"21,883,492,342.54",3.5728,2.261,"22,626,040,612.10","537,733,641.71",6.5671,6.7743,,1.5281,0.7927,3.4389,-20.8033,17.8754,43.33,"1,822,099,425.28","36,532,118,115.54","925,649,313.33"
广东鸿图科技股份有限公司,2011,1.5997,3.607,"19,035,519.22","1,288,363,098.06",0.6928,1.3458,1.0612,0.3583,"123,175,678.81","604,182,165.80",40.9272,"99,271,953.15","27,500,000.00","911,745,453.15","12,989,006.16",2.9279,8.2383,"631,682,165.80",7.7053,7.8441,"988,730,443.52","5,490,158.60",9.6887,6.4587,4.1892,2.0589,0.9002,7.4307,44.0998,17.0252,19.54,"58,764,168.67","1,543,427,618.95","88,336,544.78"
厦门金龙汽车集团股份有限公司,2011,1.7596,5.2963,"-16,459,791.97","18,924,916,397.33",2.9377,1.1807,0.956,0.506,"212,512,840.54","9,434,487,150.06",74.6045,"579,044,742.94","473,646,984.43","3,372,751,338.01","-89,437,118.39",19.6675,12.2138,"9,908,134,134.49",3.0597,3.8087,"16,671,637,208.81","103,033,371.63",13.3927,8.1718,13.0198,9.0123,1.4722,2.7206,17.1376,6.8537,13.52,"201,962,006.88","13,280,885,472.50","496,569,337.34"
浙江亚太机电股份有限公司,2011,1.471,4.8298,"25,302,984.16","1,851,123,045.68",0.9515,1.3836,1.0537,0.6075,"16,502,363.45","938,376,826.92",48.7573,"92,036,791.90","91,652,261.71","1,082,533,538.86","27,184,104.02",8.0838,0.4873,"1,030,029,088.63",4.9719,6.0503,"1,558,928,244.88","5,143,507.16",7.6584,5.9052,4.2592,2.5995,0.9394,4.7422,5.7666,15.5399,49.85,"148,781,951.02","2,112,562,627.49","84,109,184.22"
广东鸿特科技股份有限公司,2011,1.5393,4.8737,"12,590,764.60","531,368,074.04",0.5924,1.6082,1.2339,0.4952,"27,406,472.19","266,282,901.36",37.2002,"36,023,496.88","40,718,000.02","518,266,242.61","7,500,224.65",7.2843,3.0143,"307,000,901.38",6.7794,6.6634,"407,494,643.27","2,738,133.46",6.068,5.1671,5.3362,1.7253,0.8135,6.3863,37.5766,71.5446,29.23,"14,201,157.29","825,267,143.99","31,448,205.82"
常州腾龙汽车零部件股份有限公司,2011,1.4294,3.7095,"11,342,589.40","325,759,797.92",1.2418,1.1592,0.7946,0.2819,"31,004,483.50","196,590,848.45",55.3937,"51,810,192.11",,"158,306,317.74",,,,"196,590,848.45",15.9044,17.7947,"214,817,094.69","1,268,822.70",29.4325,2.9966,,,0.9179,16.1209,,,,"29,392,119.72","354,897,166.19","44,112,169.39"
绵阳富临精工机械股份有限公司,2011,1.3898,3.6582,"1,260,331.06","281,986,825.97",1.3574,1.2451,0.8929,0.3844,"22,108,706.95","162,967,689.77",57.5802,"48,583,512.58","3,134,660.92","122,369,195.27",,2.4977,,"166,102,350.69",17.229,17.2786,"201,333,153.32","1,846,324.28",33.3883,3.5081,,,0.9775,17.5507,,,,"10,572,454.83","288,471,545.96","40,857,022.16"
宁波高发汽车控制系统股份有限公司,2011,1.4936,4.3405,"4,397,353.25","274,272,070.62",0.5362,1.9895,1.5805,0.8464,"38,277,584.21","92,300,655.81",34.9052,"55,063,773.59","927,333.29","173,861,314.26","4,115,214.67",0.5305,9.0895,"93,227,989.10",20.0763,22.157,"185,325,719.29","1,916,642.50",27.1743,4.9098,,,1.0269,21.6112,,,,"22,952,226.75","267,089,303.36","47,245,644.43"
重庆小康工业集团股份有限公司,2011,1.5989,38.1458,"-31,154,500.00","9,730,071,500.00",3.7002,0.8143,0.7007,0.5847,,"6,342,186,800.00",78.7243,"718,184,400.00","573,660,600.00","1,869,050,600.00","-46,828,606.25",28.9821,,"6,915,847,500.00",7.3811,7.3971,"7,731,897,900.00","124,359,300.00",34.4447,10.8428,,3.2539,1.0721,6.5626,8.389,-6.213,,"623,861,400.00","8,784,898,000.00","585,114,200.00"
航天晨光股份有限公司,2011,1.4843,2.9529,"44,468,063.95","3,460,965,983.41",2.0122,1.0145,0.7919,0.1831,"-148,819,180.24","2,503,816,309.11",66.802,"105,913,605.97","150,873,793.80","1,319,277,445.37","44,099,812.48",11.6691,-2.8681,"2,654,690,102.91",3.0602,4.022,"2,810,304,984.01","13,905,808.51",6.691,5.2242,95.68,2.4754,0.9279,2.9183,30.5021,14.2876,23.98,"117,814,082.02","3,973,967,548.28","97,826,953.75"
中通客车控股股份有限公司,2011,1.733,4.7414,"19,734,009.98","2,603,509,632.14",2.6214,1.167,0.902,0.3978,"232,532,077.50","1,520,621,830.29",72.3865,"63,954,430.66","121,500,000.00","626,424,409.50","4,315,837.57",16.3027,17.5207,"1,642,121,830.29",2.4565,3.4962,"2,216,287,907.08","6,909,992.11",8.1207,5.9005,10.5298,5.7807,1.3333,1.9998,29.6852,38.5889,21.72,"159,121,266.67","2,268,546,239.79","50,160,217.59"
常熟市汽车饰件股份有限公司,2011,1.5178,4.8944,"25,224,884.65","678,224,623.16",1.4123,0.5655,0.439,0.1538,"129,661,103.20","790,270,340.47",58.5452,"148,048,352.58","73,395,796.17","611,546,770.40",,10.7382,,"863,666,136.64",21.8288,11.7456,"479,818,801.36","5,657,210.51",21.6513,4.8025,,,0.4597,21.4604,,,,"153,373,443.68","1,475,212,907.04","132,424,488.05"
万向钱潮股份有限公司,2011,1.4428,6.8861,"55,542,439.39","8,173,449,414.23",1.1358,1.265,0.9376,0.5965,"414,863,246.61","4,679,710,295.69",53.1791,"582,531,629.68","2,462,793.36","4,122,368,567.77","47,017,668.66",0.0637,5.2943,"4,682,173,089.05",7.1271,7.4577,"6,763,821,271.49","25,970,716.63",12.0363,4.7687,6.213,2.9439,0.9682,6.6637,4.5242,8.9859,51.53,"138,995,699.56","8,804,541,656.82","509,409,065.45"
湖南天雁机械股份有限公司,2011,2.8232,18.7108,"17,975,478.07","1,259,220,208.08",6.8908,0.5045,0.3406,0.2329,"-154,974,686.33","816,377,669.19",87.327,"-116,427,533.60","4,000,000.00","119,053,918.55","6,281,650.04",2.8555,-15.4407,"820,377,669.19",-9.246,-10.8922,"1,114,938,858.05","24,297,542.55",-82.1753,6.8711,,2.2279,1.2452,-8.5873,-6.1631,-13.26,31.43,"167,517,695.40","939,431,587.74","-116,121,922.69"
浙江仙通橡塑股份有限公司,2011,1.2947,2.7726,"8,099,817.64","262,270,747.44",1.3569,1.2869,0.9114,0.1894,"37,072,239.12","157,408,848.42",57.5705,"38,071,383.60","16,870,806.89","128,443,988.25",,11.6098,,"174,279,655.31",14.5161,15.2519,"179,850,996.18","1,221,019.19",26.2522,3.0422,,,0.8664,14.8326,,,,"11,840,858.12","302,723,643.56","33,719,399.71"
中国重汽集团济南卡车股份有限公司,2011,1.6167,17.0017,"335,555,855.69","26,058,557,166.88",3.379,1.2846,0.8915,0.7469,"337,927,990.80","12,136,153,126.19",77.1638,"703,685,357.12","2,324,360,083.15","4,279,518,254.91","334,078,269.00",38.3032,0.8719,"14,460,513,209.34",2.7004,5.3987,"23,889,555,494.87","53,034,338.00",9.6784,3.912,10.3661,8.3962,1.3556,2.2234,-9.8438,-4.895,63.78,"444,745,194.96","18,740,031,464.25","562,806,830.20"
东风汽车股份有限公司,2011,1.6662,28.5502,"-33,747,919.90","21,393,176,080.01",1.5966,1.1082,0.8862,0.7504,"-616,994,072.54","11,548,765,020.31",61.4883,"574,962,744.82","385,349,362.93","7,474,647,466.71","-52,299,083.01",6.0269,-28.4108,"11,934,114,383.24",2.6876,2.7341,"19,157,336,693.47","340,313,565.73",6.9777,7.2453,15.6501,3.408,1.1191,2.4184,8.0454,3.105,60.1,"692,041,485.39","19,408,761,849.95","512,086,888.06"
无锡贝斯特精机股份有限公司,2011,1.6394,3.0776,"1,750,776.77","336,150,533.52",0.4547,1.8087,1.4488,0.3635,"66,060,054.95","113,365,303.00",31.2575,"69,095,605.19","45,979,823.29","350,436,289.89",,11.8223,,"159,345,126.29",20.555,13.8974,"205,538,908.60","3,168,812.77",17.2696,5.0375,,,0.6594,22.1938,,,,"31,732,741.95","509,781,416.18","59,261,222.74"
浙江中马传动股份有限公司,2011,1.3554,3.976,"11,570,502.45","652,897,070.72",1.3079,1.1778,0.9792,0.5859,"-50,066,759.36","501,991,867.16",56.6704,"112,091,387.42","54,806,847.40","425,721,940.54",,11.4055,,"556,798,714.56",17.1683,14.7734,"458,287,369.17","3,185,277.85",,5.5798,8.4232,1.8373,0.78,17.2711,15.2847,42.0664,,"48,624,039.73","982,520,655.10","93,505,712.08"
重庆秦安机电股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州贵航汽车零部件股份有限公司,2011,1.4601,4.9747,"10,773,030.49","2,657,950,526.34",0.619,1.9439,1.3293,0.6158,"42,811,027.02","998,155,925.42",38.2343,"201,573,416.60","103,764,177.05","1,780,102,394.52","8,283,139.98",6.2258,3.0506,"1,101,920,102.47",7.5838,7.688,"2,103,862,070.85","10,303,264.08",7.1552,3.6868,2.9147,2.923,0.9737,6.6902,15.9728,11.3557,47.64,"120,625,566.87","2,882,022,496.99","165,283,815.79"
宁波继峰汽车零部件股份有限公司,2011,1.2284,4.4437,"4,056,174.45","469,196,311.51",0.1618,5.6368,4.2684,2.1882,"183,294,032.96","67,762,871.94",13.9266,"157,664,921.89",,"418,808,486.69","-927,013.08",,148.6102,"67,762,871.94",33.6032,32.2127,"262,001,642.17","4,052,263.34",33.0557,2.8256,,,0.9643,42.9986,,,,"16,168,692.78","486,571,358.63","138,231,133.14"
江南模塑科技股份有限公司,2011,1.0325,5.9473,"107,491,777.56","1,964,252,847.24",2.2579,0.6554,0.4599,0.2628,"315,636,099.85","2,706,885,115.57",69.3056,"109,210,705.95","10,333,479.45","1,203,412,576.44","100,090,567.71",0.9907,2.5565,"2,717,218,595.02",5.5599,5.3565,"1,467,885,181.84","2,858,522.92",7.3472,2.8051,,0.9797,0.5027,5.4442,-0.3348,0.6778,35.76,"61,155,965.04","3,920,631,171.46","100,348,842.10"
凌云工业股份有限公司,2011,1.2679,5.5602,"55,765,358.81","4,286,317,823.30",1.0874,1.6248,1.2322,0.6569,"158,411,026.80","2,177,578,818.20",52.0927,"391,432,661.67","601,672,303.36","2,555,955,478.12","61,808,893.95",24.5457,2.106,"2,779,251,121.56",9.1321,9.5334,"3,357,397,531.50","16,286,210.35",10.7393,3.7574,2.8609,3.1206,0.9016,8.4086,22.4295,20.0036,34.11,"205,327,534.39","5,335,206,599.68","326,906,011.13"
华懋(厦门)新材料科技股份有限公司,2011,1.2788,4.2805,"-1,649,645.93","275,006,880.04",0.4363,2.079,1.5578,0.9348,"40,790,235.62","103,441,089.14",30.3759,"79,083,951.96","11,278,611.00","262,946,840.74","350,533.26",4.1129,32.1358,"114,719,700.14",28.7571,21.033,"168,678,918.69","1,300,000.93",26.9096,3.1284,,,0.7282,36.4126,,,,"28,514,971.32","377,666,540.88","70,757,984.03"
苏州金鸿顺汽车部件股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁曙光汽车集团股份有限公司,2011,1.4539,7.9194,"71,019,090.26","6,248,110,609.84",2.0711,1.043,0.8323,0.511,"157,817,947.84","4,098,885,074.53",67.4383,"234,573,194.38","1,072,123,728.71","2,496,759,499.26","70,286,789.02",32.4035,1.6998,"5,171,008,803.24",3.7543,4.2572,"5,321,918,729.90","89,429,926.29",7.9436,6.7999,15.0435,2.182,0.8725,2.918,2.2824,15.2322,20.65,"1,234,279,624.18","7,667,768,302.50","174,710,106.79"
