公司名称,流动性 财务风险-流动性风险-流动资产周转率,财务风险-流动性风险-应收账款周转率,筹资方面财务风险-筹资风险-纳税信用等级,财务风险-筹资风险-征信信用等级,财务风险-筹资风险-1/财务费用率,财务风险-筹资风险-1/产权比率,财务风险-筹资风险-融资轮次,财务风险-筹资风险-股权出质总计,对外投资数量,清偿方面---财务风险-短期清偿能力-流动比率,财务风险-短期清偿能力-速动比率,财务风险-短期清偿能力-现金比率,财务风险-短期清偿能力-现金流量比率,财务风险-长期清偿能力-资产负债率,财务风险-长期清偿能力-长期资本负债率,财务风险-长期清偿能力-利息保障倍数,财务风险-长期清偿能力-现金流量利息保障倍数,财务风险-长期清偿能力-现金流量债务比,经营力方面---财务风险-盈利能力-销售净利率,财务风险-盈利能力-总资产报酬率,财务风险-盈利能力-主营业务利润率,财务风险-盈利能力-净资产收益率,财务风险-资产利用-存货周转率,财务风险-资产利用-营运资本周转率,财务风险-资产利用-非流动资产周转率,财务风险-资产利用-总资产周转率,财务风险-资产利用-成本费用利润率,财务风险-成长能力-营业收入增长率,财务风险-成长能力-总资产增长率,财务风险-资本结构-上市股东持股比例,财务风险-上市情况-是否上市,技术风险--经营风险-知识产权-专利数量,经营风险-知识产权-软件著作权数量,经营风险-知识产权-作品著作权数量,司法方面---经营风险-司法风险-诉讼数量,经营风险-其它风险-经营异常次数,经营风险-其它风险-行政处罚次数,经营风险-其它风险-动产质押次数,经营风险-其它风险-自身风险,经营风险-其它风险-周边风险,组织方面---经营风险-组织结构风险-股东数量（注册）,经营风险-组织结构风险-第一大股东持股比例（注册）,竞品信息,经营风险-战略风险-公众号数
中博龙辉（北京）信息技术股份有限公司,1.76245453,8.000838138,13,13,107.5546037,0.571786232,0,0,3,119.7066753,90.34296506,0.037448882,0.143711826,63.62168855,0,18128000,29906000,0.143711826,0.030325393,0.055422902,0.143044565,0.111893636,6.149513032,9.163012774,4.818810131,1.148832869,0.043087937,1.325294853,0.187957171,0.6346,0,0,14,0,1,0,0,0,1,1,10,0.6875,10,0
中国电子工程设计院,2.066376108,8.363524767,6,6,24.79788514,0.802105787,0,0,37,58.68125975,48.9723532,0.1735779,-0.004231911,55.49064213,0.300847024,1.760002014,-0.082080125,-0.002771276,0.03155197,0.032974234,0.177544225,0.031235392,10.18220565,-2.392572543,0.456595095,0.359232154,0.030422861,-1.1293214,0.018607362,,0,190,29,1,22,0,0,0,0,46,1,1,0,1
中地加荷（北京）环保科技有限公司,0,0,13,13,0,50269000,0,0,0,0,0,613000,266000,0,0,-1407000,266000,266000,-1407000,-0.027989417,0,-0.027989417,0,0,0,0,-0.999999289,-0.449315244,-0.054685295,,0,2,6,0,0,1,0,0,0,0,2,0.9,0,0
中安消技术有限公司,0.296910845,1.002693139,5,5,20.28749281,0.188801159,0,0,11,108.2764392,107.3127061,0.463870296,-0.02264112,84.11835677,0,518065000,-254762000,-0.02264112,0.121601636,0.038729178,0.319989871,0.207059322,21.97294361,2.55859462,1.997048136,0.178129476,0.173809171,-0.208461862,0.747599022,,0,94,44,0,6,0,0,0,1,27,1,1,0,1
中安网脉（北京）技术股份有限公司,1.318780888,4.556925982,9,9,-4803.01601,1.146156757,0,0,1,243.7751004,237.5502008,1.284471215,-0.141454707,46.59491884,0.116720163,232500000,-63400000,-0.120030291,0.137136512,0.2050988,0.493511,0.326395771,25.68458689,1.112042208,17.47804835,0.632145377,0.177779477,0.011985019,0.117728259,,0,1,29,0,0,0,1,0,0,0,20,0.25,10,1
中持水务股份有限公司,0.602597461,2.227514071,9,9,50.16360074,0.987718982,12,0,20,138.9559466,119.2753057,0.111435498,-0.028147426,50.30891121,0.043363726,107774000,-60894000,-0.02688719,0.061522223,0.023940313,0.277585856,0.049820674,3.041722049,1.536685527,0.865915179,0.287680492,0.064108566,-0.487449109,0.433835073,,0,42,14,0,1,0,0,0,0,5,20,0.3393,10,1
中林信达（北京）科技信息有限责任公司,0.628867308,2.106214561,12,12,3948.704089,2.231233769,0,0,2,188.3365759,149.8897536,0.045549611,0.108503566,30.94800855,0,38576000,13385000,0.108503566,0.198020614,0.096777754,0.666618752,0.105114008,1.012988087,0.440883893,0.288948228,0.120530652,0.358746393,-1.718682497,0.593593703,,0,5,16,0,0,0,0,0,0,0,4,0.35,0,1
中海昊华环境工程有限公司,0.172871507,0.490395565,11,11,3798.237755,0.550453917,0,0,2,133.5543471,119.8132185,0.05788655,-0.250419701,64.64406132,0,1.15E+11,-2.83E+12,-0.250419701,0.032675514,0.006560748,0.248654214,0.013793362,1.243787776,0.509354206,0.808511549,0.110483475,0.045941396,17.66024764,0.050292117,,0,4,4,0,2,0,0,0,0,2,3,0.639,0,0
中环国投（北京）环境信息科技股份有限公司,1.553299712,5.482670985,14,14,-1446.415391,10.25889273,0,0,1,915.4728464,776.0533708,3.119849457,0,8.88186619,0,-9232000,0,0,-0.151972079,-0.191941453,0.574636193,-0.210651212,4.299193368,0.735023087,2.848592408,0.532371397,-0.131912095,-157.5736004,0.112452583,,0,0,13,0,0,0,0,0,2,0,3,0.9999,0,0
中电华材新材料科技（北京）有限公司,0,0,15,15,0,2.140710039,0,0,0,304.5086705,222.8406276,1.859179639,0,31.8404908,0,-501000,0,0,-501000,-0.00878177,0,-0.012884146,0,0,0,0,-1.012119167,-0.247720741,0.190227819,,0,0,3,0,0,1,0,0,1,0,4,0.72,0,0
中电华瑞技术有限公司,0.0740584,1.0184287,9,9,105000000,0.087606036,0,0,1,106.4334509,74.431349,0.001501389,-0.016515277,91.94505798,0,-105200000,-22000000,-0.016515277,-1.001904752,-0.072611817,0.512380948,-0.901456727,0.11963406,0.595099176,1.645161237,0.035201546,-0.500475735,0.214780603,0.077415037,,0,17,27,0,0,0,0,0,0,0,2,0.46,4,0
中电投工程研究检测评定中心,0.406706418,2.581795899,9,9,-110.7548703,9.604466061,0,0,0,1191.366194,1191.366194,5.673803433,4.25155408,9.429972673,0.013207747,16306000,201749000,3.705011593,0.06894797,0.028238138,0.26976388,0.030312069,166506000,0.321510911,13.7528691,0.28834904,0.075919899,-0.533878992,0.080616879,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
中益能（北京）技术有限公司,0.442372832,4.828140779,10,10,26.4548963,5.173491468,0,0,10,215.3120995,126.6239038,0.075980112,-0.17215628,16.19827148,0,7965000,-25658000,-0.17215628,0.05610854,0.008656743,0.597892315,0.010330029,0.431593279,0.331944604,0.095208055,0.062002495,0.060572645,0.708081517,0.093193767,,0,0,6,0,0,0,0,0,4,1,5,0.708,0,1
中盛建材有限公司,0.560233549,1.633794631,10,10,2207.768823,1.058002564,0,0,1,178.1337791,115.3377991,0.086941889,-0.088535939,47.72222043,0,6817000,-62873000,-0.088535939,0.007213248,0.004581096,0.146708885,0.006571277,1.350645824,1.085511659,2.700068576,0.404756624,0.009678688,-0.480851513,-0.092497919,,0,12,4,0,19,0,0,0,0,19,2,0.53,0,0
中科九度（北京）空间信息技术有限责任公司,0.886501029,3.781935131,11,11,-471.5533701,3.825708834,0,0,4,319.858156,308.4427472,1.432575602,0.30270958,20.72229686,0.023496787,-7288000,24969000,0.274843692,-0.031159947,-0.016623822,0.761836758,-0.020969102,5.833686721,0.302894953,0.314655269,0.125294532,-0.027846341,-0.795456723,0.168767428,,0,15,58,0,1,0,0,0,1,0,2,0.6248,0,0
中科信息安全共性技术国家工程研究中心有限公司,0.651949195,2.386594802,6,6,-60.54345117,21.43122026,0,0,1,807.8300252,795.7452534,2.362925029,0.827415285,4.458072224,0,5865174000,2.97E+11,0.827415285,0.003102985,0.000728552,0.947227229,0.000762547,2.178106502,0.037186781,0.01833907,0.011734502,0.003015022,0.012986371,0.023210654,,0,35,86,0,0,0,0,0,1,15,5,0.25,10,0
中科嘉亿生态工程技术有限公司,0,0,11,11,0,1.22649699,0,0,2,137.9191216,117.261266,0.002000845,-0.034658229,44.9109486,0,-175453000,-5006000,-0.034658229,-191229000,-0.545542455,-133570000,-1.079334887,4.458743734,2.429066963,1.086901456,0.413666155,-0.912928549,1.028315424,1.79191623,,0,9,0,0,0,0,0,0,0,0,14,0.6312,0,0
中科恒源科技股份有限公司,0.498670591,2.823545806,8,8,8.46034481,0.556175993,4,67,16,114.3340834,89.91840095,0.210244046,0.389759159,64.26008005,0.084739966,460352000,3891905000,0.369688928,0.068276708,0.028099948,0.299604299,0.06638804,1.622375006,2.763440941,0.796498224,0.241435703,0.080357253,-1.072834908,-0.167858177,,0,206,13,0,34,0,0,0,72,30,20,0.028,10,0
中能兴科（北京）节能科技股份有限公司,1.028426464,1.942011376,10,10,-984.9422112,1.131766359,0,0,0,250.3401475,246.6672252,0.496581761,-0.379339806,67.71627652,0.366585783,54687000,-22639000,-0.130870349,0.322844124,0.214072653,0.541256098,0.601476865,31.85171905,0.778161667,0.658315805,0.273306975,0.495429545,-4.427275229,0.894457374,,0,12,15,0,2,0,0,0,2,1,7,0.0741,10,0
中能服能源科技股份有限公司,0.400316036,4.413022373,10,10,565.5841752,2.219845056,0,0,3,319.6135854,233.1473014,0.110185578,-0.551221627,31.05743727,0,-681000,-125732000,-0.551221627,-0.007010643,-0.000927242,0.339488489,-0.004040771,0.973152758,0.383149808,35.49694184,0.261332505,-0.002232706,-0.97131701,-0.10799811,,0,43,6,0,1,0,0,0,0,0,5,0.4,10,1
中航捷锐（北京）光电技术有限公司,1.028184991,4.652346402,10,10,-1028.673853,1.166177411,0,0,1,211.1589242,132.9350983,0.534149225,0.280710348,46.16427047,0.041714571,160580000,130075000,0.266460313,0.136164295,0.151857459,0.428629222,0.240632026,1.574582308,1.108051857,7.226869171,0.53973988,0.190250745,0.009999307,0.003753257,,0,22,0,0,0,0,0,0,0,1,4,0.5359,0,0
中航网信(北京)科技有限公司,2.704217597,4.240657896,8,8,99.2762409,0.258089991,0,0,9,102.7091008,74.88450691,0.039892286,0,85.96914141,0,636540000,0,0,0.03145297,0.084389025,0.063662653,0.535267122,9.33474735,95.87518873,19.08177638,2.232924261,0.036636996,0.586261374,0.292202184,0,0,4,0,0,0,0,0,0,11,6,4,0.4,0,0
中节能唯绿（北京）建筑节能科技有限公司,0.664447858,1.934359624,11,11,-179.4749714,4.859429373,0,0,0,691.7242952,691.7242952,3.633482249,0.445511188,17.06653316,0.034315004,71119000,42970000,0.368581768,0.150603537,0.104111679,0.484316595,0.117847353,222135000,0.389216153,13.9461945,0.32518522,0.192729194,-0.172303429,0.284385505,0,0,45,0,0,0,0,0,0,0,0,6,0.525,0,0
中节能科技投资有限公司,0.720490058,3.974382519,4,4,5193270000,0.984272228,0,0,3,134.3762764,88.15600765,0.260192777,-0.135336582,50.39631083,0,857080000,-725948000,-0.102299494,0.140356269,0.060867866,1,0.10435793,0,0,0,0,1.466826625,0.449205667,0.389591059,,0,31,0,0,4,0,0,0,2,20,1,1,0,0
中节能风力发电股份有限公司,0.862934425,2.188418804,4,4,3.169444842,0.409331177,12,0,31,53.34576607,50.90733945,0.193147754,0.435723321,70.95564362,0.638809304,2507773000,11200383000,0.120280748,0.19203043,0.01910902,0.514158674,0.059615378,9.107079711,-0.475989932,0.048572488,0.043497178,0.248636589,-0.206954029,0.079671541,,0,7,23,0,0,0,0,0,0,18,5,0.5333,10,0
中赫时尚（北京）文化发展股份有限公司,6.189924177,76427000,14,14,444.3404399,0.17478465,2,0,0,94.11540514,94.05442488,0.808979281,0.098559334,85.12750633,0,-960000,1293000,0.098559334,-0.012561006,-0.062293167,0.555863758,-0.418848168,4175.728034,-43.27725813,10.90404344,2.167931856,-0.012405344,-4.664104335,-0.18122409,0.6335,0,0,7,0,0,0,0,0,0,0,9,0.6335,10,1
中鑫创投（北京）教育科技有限公司,0.547968294,2913000,13,13,2913000,5387.612388,0,0,1,531600,236400,2361.638362,-7540.45954,0.018539118,0,-4428000,-7548000,-7540.45954,-1.520081867,-0.820912125,0.996566771,-0.821064343,0.003387533,0.001881467,0.128203485,0.001853911,-442.7557244,2903000,5394000,,0,0,10,0,0,0,0,0,0,0,4,0.29,0,0
中铝国际工程股份有限公司,0.67579171,2.115966149,4,4,152.2971589,0.358889608,0,0,40,127.9591556,91.50602134,0.237327706,-0.043133841,73.5872572,0.214253395,1093000,-942000,-0.038912755,0.044109079,0.033224914,0.114376483,0.095868339,2.070091437,2.698984163,3.327947632,0.500957519,0.061626068,-0.553696939,0.169421628,,0,15,0,0,19,0,0,0,12,551,2,0.8174,10,0
中际联合（北京）科技股份有限公司,1.061614288,1.601953931,7,7,484.2505237,3.968557624,6,0,3,429.7792054,404.1422379,0.856538074,0.563669461,20.12582983,0.016941956,347081000,144597000,0.525117934,0.256650097,0.25367765,0.550633354,0.274873815,7.769227142,0.603978126,1.923087918,0.373448414,0.425657868,0.325131671,0.364772785,,0,180,1,0,1,0,0,0,0,0,5,0.4392,10,1
举贤网科技（北京）股份有限公司,4.041979544,9.68706707,14,14,45.16348159,-0.757014918,6,0,3,17.61094527,17.61094527,0.031791044,-0.196119401,411.5479115,0,-32769000,-19710000,-0.196119401,-0.458057836,-1.341891892,0.50566823,0.430717666,31608000,-0.381734525,4.702870897,1.294348841,-0.314026695,-0.503904951,-0.378562694,,0,0,19,0,5,0,0,0,6,9,13,0.2437,10,1
九一金融信息服务（北京）有限公司,0.065558719,1.288504334,9,9,-93.285197,21.3156411,8,0,4,2213.831033,2213.831033,15.13801693,-6.331869246,4.481153293,0,1725000,-151395000,-6.331869246,-0.0125353,0.003232953,0.696386355,-0.000853514,10411000,0.020598832,2.454844976,0.01951204,0.044327379,10.59782889,51.36191841,,0,0,23,0,4,0,0,0,0,5,16,0.3686,30,1
九源天能（北京）科技有限公司,0.155630102,2.240128391,8,8,9.44694468,0.026841484,0,0,8,618.8464679,487.8961305,0.075759339,0.616027047,97.3860007,0.969622845,203546000,1180699000,0.088235969,0.104926885,0.014813769,0.392753691,0.539262526,0.441430928,0.111411627,0.589540131,0.080632809,0.123958014,4.075805876,3.208454136,,0,25,11,0,0,0,0,0,0,1,20,0.0975,0,1
二十一世纪空间技术应用股份有限公司,1.45635295,9.894215602,6,6,31.9324487,0.616585287,8,1,12,54.34073525,44.23780494,0.141145368,0.720683631,62.89771832,0.544179348,579967000,1416717000,0.190183038,0.321845168,0.048969633,0.607215194,0.113946382,3.070497409,-0.679402564,0.056593987,0.051489433,0.537014437,0.139686491,0.202999586,,0,8,175,0,0,0,0,3,6,4,9,0.5029,2,0
京北方信息技术股份有限公司,2.294912592,4.031266824,8,8,41.28211857,0.642637367,0,0,6,162.9113328,162.4639179,0.589734592,0.267564759,60.87772731,0.160307246,452179000,481170000,0.234738028,0.060014091,0.134293109,0.221403519,0.306308871,645.6397408,4.591682175,11.87604131,1.542814376,0.071730086,0.732596127,0.08931806,,0,27,5,0,15,0,1,0,1,3,7,0.2285,10,0
企商在线（北京）网络股份有限公司,6.023121213,148.8570365,11,11,208400000,2.912325249,3,0,3,43.96442186,43.96442186,0.182973314,0.168996186,42.51755808,0,-12700000,13300000,0.168996186,-0.061420345,-0.068611561,0.303742801,-0.120300752,142500000,-3.23129259,0.946843848,0.769854129,-0.057518116,-9.533326978,0.545075121,,0,0,20,0,1,0,1,0,1,1,4,0.6037,10,1
众信博睿整合营销咨询股份有限公司,0.251026004,1.24206546,12,12,-116.9128723,7.169199578,0,0,10,788.0274149,788.0274149,6.154849828,-2.343756191,12.24077812,0,-7575000,-10943000,-2.343756191,-0.705283596,-0.198594762,0.409701125,-0.194598793,5450000,0.169655081,4.037034047,0.142883356,-0.450597796,-7575000,38143000,0.85,1,0,0,0,0,0,0,0,0,1,4,0.85,20,1
伟景行科技股份有限公司,0.834266666,1.484567313,8,8,1141754000,1.520443718,4,4,3,197.7005251,186.4979884,0.390226003,0.240869923,39.67557606,0,146459000,166741000,0.237439924,0.116635457,0.082746694,0.488106019,0.124722423,7.536615462,0.86416334,22.31859234,0.330207665,0.250589863,0.015517699,0.043418797,,0,7,80,0,7,0,0,0,9,1,18,0.2908,10,1
伯格森（北京）科技股份有限公司,0.921255676,1.653768874,10,10,52.42941802,0,0,0,1,188.7445302,129.9650273,0.047711567,-0.036104681,44.67600106,0,2025000,-2137000,-0.036104681,0.019675667,0.015284749,0.500403225,0.027627701,1.477910912,0.97888703,2.47570887,0.388104311,0.018482685,0.021909882,0.075435093,0.6,0,7,11,0,0,0,0,0,0,1,5,0.6,10,0
信亦宏达网络存储技术（北京）有限公司,3.625801698,13.00359906,8,8,5651.772568,0.675749827,0,0,1,76.49833515,47.72813633,0.078981638,-0.024177395,59.67473276,0,13513000,-18770000,-0.024177395,0.004596599,0.010386937,0.152459608,0.018867133,8.151784558,-9.979227696,2.575063286,1.399542337,0.006301371,-24.89576905,0.294706274,,0,0,30,0,3,0,0,0,1,0,5,0.36,10,0
信帧电子技术（北京）有限公司,0.692856723,0.793528431,13,13,6309.393565,4.52423963,0,0,1,224.8482296,221.2740001,0.171987101,-0.79514624,18.10203856,0,5327000,-54749000,-0.79514624,0.043415434,0.014004932,0.790819078,0.014949665,8.529049765,0.244174817,0.093061818,0.055183691,0.048534932,-1.26335259,1.927198274,0,0,122,0,0,0,0,0,0,0,0,5,0.7162,0,0
倍适（北京）科技有限公司,2.503954899,6.392530386,9,9,84.53958545,0.48418353,0,0,9,229.9943433,142.9548026,0.167154089,0.084780518,67.37717565,0.510280739,67428000,29975000,0.04200768,0.032862736,0.063668202,0.143785582,0.193673967,5.655329045,3.786605099,7.07791851,1.643311523,0.034244064,0.197700777,0.287719853,,0,17,5,0,4,2,1,0,7,0,0,0,0,0
元码基因科技（北京）有限公司,0,0,13,13,0,0,0,0,3,0,0,0,0,0,0,1400000,0,0,1400000,0,0,0,0,0,0,0,1400000,0,0,0,0,5,0,0,0,0,0,0,0,2,6,0.4913,0,0
先智创科（北京）科技有限公司,0.865732149,151.4194745,11,11,1082.644587,0.158228718,8,2,3,107.5288048,107.5288048,0.766878759,0.37804385,86.33873291,0,-75558000,87933000,0.37804385,-0.348949336,-0.280463542,0.72424606,-2.052983371,58286000,3.328346087,3.021252176,0.21635165,-0.246018695,0.489642725,1.395596566,,0,0,29,1,0,0,0,0,2,4,13,0.3808,39,0
全维智码信息技术（北京）股份有限公司,0.697182128,3.080309296,12,12,-934.631986,5.258379904,0,0,1,615.0561798,615.0561798,3.810439897,0.9390449,15.97869507,0,7533000,20058000,0.9390449,0.081272585,0.056351831,0.359164998,0.066276109,58586000,0.532522537,25.45003238,0.438262089,0.079106546,-1.216925215,-0.409246785,,0,0,25,0,0,0,0,0,0,0,4,0.8387,0,0
动能趋势（北京）康复技术股份有限公司,0.996149002,4.57924638,13,13,-1769.17445,4.976138664,6,0,2,581.6422013,571.8989415,3.124510023,-1.798584607,16.73321199,0,10409000,-30754000,-1.798584607,0.076701792,0.101863269,0.403726579,0.08930859,35.42494872,0.716620517,21.61039121,0.57755465,0.117782177,21.48159507,0.476143005,0.2017,0,3,6,0,0,0,0,0,0,0,5,0.24,10,1
北京万向新元科技股份有限公司,0.64857665,2.245819824,8,8,247.1464764,1.558210244,12,0,10,217.1468145,159.0040462,0.336843187,0.000948285,39.08981529,0.005547876,306261000,1079000,0.000940041,0.166253562,0.10429915,0.325483713,0.148959296,1.618029122,0.803066586,2.299171564,0.364547259,0.237214317,-0.206633679,0.211563107,,0,50,34,0,13,0,0,0,3,5,15,0.149,3,1
北京万家天能新能源股份有限公司,1.821473545,3.965017757,11,11,465.9966845,0.455487357,0,0,25,134.3157928,74.31859904,0.114122237,0.127767795,68.70532654,0.016698115,28030000,32781000,0.126779519,0.03160915,0.074480127,0.134183954,0.168465294,3.523065207,6.159671909,17.09050747,1.441019069,0.046589555,-0.100233994,-0.0779118,0.2558,1,0,0,0,1,0,0,0,1,5,17,0.2043,10,0
北京万思维通信技术有限公司,1.41543787,2.101207582,11,11,126.0055131,0,0,0,1,200.7542181,185.9481239,0.411835804,0,32.90247742,0,33810000,0,0,0.137622077,0.1400696,0.999999996,0.191763398,0,0,0,0,0.622835446,0.106033888,0.999718318,,0,0,15,0,0,0,0,0,0,1,5,0,0,0
北京万达誉辉科技发展有限公司,1.722463477,9.778708782,12,12,324.702702,0.970366381,0,0,0,197.0347257,68.35062598,0.049599907,0,50.75247506,0,433000,0,0,0.00219981,0.004206865,0.023577456,0.007693977,2.574856408,3.414685565,173087000,1.681648142,0.002448416,1.262880088,0.485516757,,0,0,6,0,0,1,0,0,1,0,2,0.9999,0,0
北京万高众业科技股份有限公司,1.450925725,3.986190409,12,12,2425.739213,0.633114674,0,0,2,158.5387921,127.3946027,0.629164994,0.645668395,61.23268698,0,64769000,74217000,0.645668395,0.2138135,0.345029832,0.448099148,0.776843378,4.036257883,2.147396235,26.33867548,0.769731511,0.329514292,-4.157763875,1.202691748,,0,19,0,0,0,0,0,0,0,1,3,0.7,10,0
北京三博中自科技有限公司,1.267670897,2.354680456,9,9,58.77689434,0.34885839,0,0,2,120.8406876,85.15063878,0.03557564,-0.086602633,74.13689929,0.039600414,40588000,-70851000,-0.085356891,0.02363871,0.036251391,0.142402778,0.102306869,3.669549212,6.284168384,8.178499125,0.956977597,0.033196663,-0.149459162,-0.049751919,,0,95,43,0,8,0,0,0,1,2,20,0.2025,0,0
北京三吉利新材料有限公司0,2.995185589,8.827407839,10,10,-2046.723411,1.72297509,0,0,0,226.6314263,158.1300086,0.679450108,0.141225686,36.72454981,0,248549000,150869000,0.141225686,0.019799797,0.08544412,0.058287489,0.078005611,9.319847648,5.041582454,13.98026817,2.344578908,0.035354456,-0.158920539,0.111872726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京三多堂传媒股份有限公司,0.444325193,10.8235287,10,10,-63.69233219,1.933935619,6,0,4,217.8258328,97.25306838,0.704266507,0.031560491,33.89473684,0.017216643,37000000,5400000,0.030491248,0.193840579,0.070813397,0.408212558,0.092935727,0.473097429,0.484126982,0.651535376,0.186794258,0.209276017,-1.111747835,-0.1320598,0.3561,1,0,8,0,0,0,0,0,0,1,5,0.374,10,0
北京三夫户外用品股份有限公司,1.26401689,3.064812179,7,7,63.14479954,3.63162388,12,0,21,387.5786258,257.1889049,0.770266741,0.27338857,21.59068159,0.000259518,315882000,141387000,0.273130842,0.099711796,0.131750568,0.279781672,0.134384227,2.680825408,1.215500895,4.598087257,0.753995285,0.138760302,-0.273514447,0.123384732,0.282,1,15,8,1,1,0,1,0,1,4,13,0.3798,10,1
